TRRRUFD12903CD7092,Wastelands,Alien 4,Hawkwind,space rock,british,1994,0
TRRRUTV12903CEA11B,Runaway,Songs of Del Shannon,Del Shannon,ballad,classic pop and rock,1961,0
TRRRUJO128E07813E7,Have You Met Miss Jones? (Swing When Version),Swing When You're Winning,Robbie Williams,british pop,pop,2001,0
TRRRIYO128F428CF6F,Goodbye,Bittersweet,Volebeats,alternative country,,0,0
TRRRILO128F422FFED,La Colegiala,Musica Tropical De Colombia 5,Rodolfo Y Su Tipica Ra7,cumbia,,1997,0
TRRRIVC12903CA6C5A,Even Now,The Complete Collection...And Then Some,Barry Manilow,soft rock,soft rock,1978,0
TRRRILD128F92CB682,You Are Always On My Mind,Romantic Panpipes Addicted To Love,Panpipes,instrumental pop,,0,0
TRRRION128F145EBB7,Snakefood,The Remix Edition - Episode II,Safri Duo,hard trance,,2001,0
TRRRNPV128F42AAA55,Requiem in D Minor K626 - Sequence: Recordare,Wolfgang Amadeus Mozart Requiem and Adagio & Fugue,Scottish Chamber Orchestra/Sir Charles Mackerras,orchestra,classical,0,0
TRRRNGS12903CD16D9,You're In My Heart,Celtic: The Official Album,D2,video game music,,0,0
TRRRNKD12903CB3410,Raspberry Beret (LP Version),The Hits 2,Prince & The Revolution,pop rock,rock and indie,0,0
TRRRGET128F426655D,Pavane,Along The Way: The Best Of Dan Siegel,Dan Siegel,jazz funk,,0,0
TRRRZXV128F92EFABF,Werewolves Of London (LP Version),Happy Birthday Dad,Warren Zevon,singer-songwriter,classic pop and rock,0,0
TRRRZEM128F4262F06,Loving This Way (Duet with Bobbie Eakes),Tracks,Collin Raye,country rock,,2000,0
TRRRTLE12903CA241F,Canon In D Major,Musikk For Det Ufødte Barnet,Johann Pachelbel,classical,classical,1977,0
TRRRSCQ128F42807E8,Wishing On A Star (Edit) (Album Version),Rhino Hi-Five: Rose Royce,Rose Royce,quiet storm,classic pop and rock,0,0
TRRRSSX128F42BCE2A,Verloren,Beste uit Ahoy,Frans Bauer,german pop,dutch,1995,0
TRRRAJP128E0793859,We Gonna Take U Back (Lude)/ Don't Leave Me,Another Level,Blackstreet,new jack swing,hip hop rnb and dance hall,1996,0
TRRRAAG128F14744C5,Only Wanna Be With You (LP Version),Rhino Hi-Five: Hootie & The Blowfish,Hootie And The Blowfish,southern rock,south carolina,0,0
TRRRFLX128F9326186,Blackbird,Good Evening New York City,Paul McCartney,soft rock,british,1991,0
